Id,Id2,totpop,nhisp,nhisp_wh,nhisp_bk,nhisp_aian,nhisp_as,nhisp_nhpi,nhisp_oth,nhisp_two,hisp
1400000US42001030101,42001030101,2589,2527,2457,54,0,0,0,0,16,62
1400000US42001030102,42001030102,5781,5378,5337,0,0,22,0,19,0,403
1400000US42001030200,42001030200,5300,4439,4297,31,0,57,0,0,54,861
1400000US42001030300,42001030300,4274,3775,3639,51,0,46,0,0,39,499
1400000US42001030400,42001030400,5730,5330,5286,36,3,0,0,0,5,400
1400000US42001030500,42001030500,3731,3056,3012,10,0,8,0,0,26,675
1400000US42001030600,42001030600,4938,4523,4427,24,6,37,0,0,29,415
1400000US42001030700,42001030700,6796,6619,6174,141,0,142,0,0,162,177
1400000US42001030800,42001030800,7236,6941,6794,51,7,18,0,10,61,295
1400000US42001030900,42001030900,7669,6974,6640,173,7,19,0,0,135,695
1400000US42001031000,42001031000,1835,1768,1760,0,0,0,0,0,8,67
1400000US42001031101,42001031101,5150,4980,4795,33,0,92,0,0,60,170
1400000US42001031102,42001031102,3175,3076,2915,0,0,11,0,0,150,99
1400000US42001031201,42001031201,3684,3533,3339,93,0,13,0,11,77,151
1400000US42001031202,42001031202,2702,2693,2665,0,0,0,0,0,28,9
1400000US42001031203,42001031203,3158,3113,3070,0,0,4,0,0,39,45
1400000US42001031300,42001031300,4439,4293,4097,47,0,0,0,0,149,146
1400000US42001031401,42001031401,4172,3809,3609,150,0,0,0,0,50,363
1400000US42001031402,42001031402,2015,1941,1769,20,0,33,0,0,119,74
1400000US42001031501,42001031501,3432,3253,2953,100,0,103,0,0,97,179
1400000US42001031502,42001031502,4195,3507,2986,318,0,73,0,0,130,688
1400000US42001031600,42001031600,6955,6633,6511,27,9,18,0,2,66,322
1400000US42001031700,42001031700,2633,2537,2380,40,0,21,0,0,96,96
1400000US42003010300,42003010300,6546,6324,4147,1696,27,239,0,0,215,222
1400000US42003020100,42003020100,4823,4653,3689,313,17,523,0,0,111,170
1400000US42003020300,42003020300,943,917,793,56,0,54,0,0,14,26
1400000US42003030500,42003030500,2177,1970,174,1601,22,20,0,83,70,207
1400000US42003040200,42003040200,1742,1696,682,751,0,191,0,0,72,46
1400000US42003040400,42003040400,1988,1948,1294,212,0,405,0,12,25,40
1400000US42003040500,42003040500,3849,3755,3293,191,0,219,0,23,29,94
1400000US42003040600,42003040600,2134,2064,1751,100,0,122,0,0,91,70
1400000US42003040900,42003040900,3166,3099,2108,506,0,265,0,10,210,67
1400000US42003050100,42003050100,2148,2148,152,1689,0,19,0,0,288,0
1400000US42003050600,42003050600,2118,2101,389,1505,0,207,0,0,0,17
1400000US42003050900,42003050900,1291,1239,0,1235,0,0,0,0,4,52
1400000US42003051000,42003051000,2128,2090,917,901,0,214,0,0,58,38
1400000US42003051100,42003051100,152,152,0,152,0,0,0,0,0,0
1400000US42003060300,42003060300,2481,2362,1884,320,0,24,0,0,134,119
