Id,Id2,tothh,owners,renters
1400000US42001030101,42001030101,979,864,115
1400000US42001030102,42001030102,2135,1934,201
1400000US42001030200,42001030200,1927,1529,398
1400000US42001030300,42001030300,1512,1216,296
1400000US42001030400,42001030400,2298,1797,501
1400000US42001030500,42001030500,1454,1086,368
1400000US42001030600,42001030600,1726,1352,374
1400000US42001030700,42001030700,2635,2223,412
1400000US42001030800,42001030800,2876,2386,490
1400000US42001030900,42001030900,2909,2049,860
1400000US42001031000,42001031000,661,554,107
1400000US42001031101,42001031101,2318,1429,889
1400000US42001031102,42001031102,1306,1116,190
1400000US42001031201,42001031201,1534,1341,193
1400000US42001031202,42001031202,1008,899,109
1400000US42001031203,42001031203,1199,1098,101
1400000US42001031300,42001031300,1843,1197,646
1400000US42001031401,42001031401,1641,1364,277
1400000US42001031402,42001031402,840,665,175
1400000US42001031501,42001031501,527,187,340
1400000US42001031502,42001031502,1758,577,1181
1400000US42001031600,42001031600,2703,2464,239
1400000US42001031700,42001031700,1029,864,165
1400000US42003010300,42003010300,291,49,242
1400000US42003020100,42003020100,2370,427,1943
1400000US42003020300,42003020300,641,76,565
1400000US42003030500,42003030500,1096,259,837
1400000US42003040200,42003040200,629,162,467
1400000US42003040400,42003040400,1197,639,558
1400000US42003040500,42003040500,1132,60,1072
1400000US42003040600,42003040600,892,110,782
1400000US42003040900,42003040900,1288,402,886
1400000US42003050100,42003050100,996,277,719
1400000US42003050600,42003050600,906,563,343
1400000US42003050900,42003050900,790,79,711
1400000US42003051000,42003051000,724,76,648
1400000US42003051100,42003051100,82,0,82
1400000US42003060300,42003060300,1246,555,691
1400000US42003060500,42003060500,716,367,349
1400000US42003070300,42003070300,1139,345,794
1400000US42003070500,42003070500,1789,334,1455
1400000US42003070600,42003070600,1263,485,778
1400000US42003070800,42003070800,1068,225,843
1400000US42003070900,42003070900,2470,712,1758
1400000US42003080200,42003080200,871,295,576
1400000US42003080400,42003080400,805,256,549
1400000US42003080600,42003080600,1082,461,621
1400000US42003080700,42003080700,1138,194,944
1400000US42003080900,42003080900,989,283,706
1400000US42003090100,42003090100,1041,478,563
1400000US42003090200,42003090200,1326,519,807
1400000US42003090300,42003090300,882,337,545
1400000US42003100500,42003100500,910,622,288
1400000US42003101100,42003101100,1303,607,696
1400000US42003101400,42003101400,1503,972,531
1400000US42003101600,42003101600,398,116,282
1400000US42003101700,42003101700,639,300,339
1400000US42003101800,42003101800,1185,1058,127
1400000US42003110200,42003110200,1996,827,1169
1400000US42003110600,42003110600,1098,757,341
1400000US42003111300,42003111300,1350,403,947
1400000US42003111400,42003111400,596,273,323
1400000US42003111500,42003111500,1788,193,1595
1400000US42003120300,42003120300,733,313,420
1400000US42003120400,42003120400,363,156,207
1400000US42003120700,42003120700,407,164,243
1400000US42003120800,42003120800,235,75,160
1400000US42003130100,42003130100,777,277,500
1400000US42003130200,42003130200,491,281,210
1400000US42003130300,42003130300,619,244,375
1400000US42003130400,42003130400,430,254,176
1400000US42003130600,42003130600,1419,487,932
1400000US42003140100,42003140100,899,722,177
1400000US42003140200,42003140200,1041,458,583
1400000US42003140300,42003140300,1489,851,638
1400000US42003140400,42003140400,979,768,211
1400000US42003140500,42003140500,1044,330,714
1400000US42003140600,42003140600,1466,923,543
1400000US42003140800,42003140800,1954,939,1015
1400000US42003141000,42003141000,454,340,114
1400000US42003141100,42003141100,602,518,84
1400000US42003141300,42003141300,2508,818,1690
1400000US42003141400,42003141400,2517,1262,1255
1400000US42003151600,42003151600,1141,679,462
1400000US42003151700,42003151700,2442,1439,1003
1400000US42003160800,42003160800,1318,595,723
1400000US42003160900,42003160900,1692,526,1166
1400000US42003170200,42003170200,1951,948,1003
1400000US42003170600,42003170600,869,476,393
1400000US42003180300,42003180300,951,369,582
1400000US42003180700,42003180700,987,487,500
1400000US42003190300,42003190300,1009,595,414
1400000US42003191100,42003191100,1238,815,423
1400000US42003191400,42003191400,1403,504,899
1400000US42003191500,42003191500,969,370,599
1400000US42003191600,42003191600,1901,1200,701
1400000US42003191700,42003191700,1524,1134,390
1400000US42003191800,42003191800,2242,1726,516
1400000US42003191900,42003191900,940,559,381
1400000US42003192000,42003192000,1580,968,612
1400000US42003202200,42003202200,1156,692,464
1400000US42003202300,42003202300,1909,1023,886
1400000US42003210700,42003210700,1129,587,542
1400000US42003220600,42003220600,971,365,606
1400000US42003240600,42003240600,1151,551,600
1400000US42003241200,42003241200,394,275,119
1400000US42003250300,42003250300,570,269,301
1400000US42003250700,42003250700,303,124,179
1400000US42003250900,42003250900,603,262,341
1400000US42003260200,42003260200,914,606,308
1400000US42003260700,42003260700,738,487,251
1400000US42003260900,42003260900,560,20,540
1400000US42003261200,42003261200,505,387,118
1400000US42003261400,42003261400,984,419,565
1400000US42003261500,42003261500,745,343,402
1400000US42003262000,42003262000,1208,749,459
1400000US42003270100,42003270100,993,741,252
1400000US42003270300,42003270300,859,466,393
1400000US42003270400,42003270400,449,296,153
1400000US42003270800,42003270800,1112,869,243
1400000US42003271500,42003271500,1007,744,263
1400000US42003281400,42003281400,1082,619,463
1400000US42003281500,42003281500,674,412,262
1400000US42003290100,42003290100,907,524,383
1400000US42003290200,42003290200,1778,1020,758
1400000US42003290400,42003290400,1863,1123,740
1400000US42003300100,42003300100,1382,808,574
1400000US42003310200,42003310200,1479,1385,94
1400000US42003310300,42003310300,397,391,6
1400000US42003320400,42003320400,814,652,162
1400000US42003320600,42003320600,1015,802,213
1400000US42003320700,42003320700,702,573,129
1400000US42003401100,42003401100,2030,1488,542
1400000US42003401200,42003401200,1293,662,631
1400000US42003401300,42003401300,1102,1008,94
1400000US42003402000,42003402000,1440,878,562
1400000US42003403500,42003403500,2026,955,1071
1400000US42003404000,42003404000,646,431,215
1400000US42003405000,42003405000,473,412,61
1400000US42003406000,42003406000,1027,841,186
1400000US42003407001,42003407001,2366,2013,353
1400000US42003407002,42003407002,2765,2468,297
1400000US42003408001,42003408001,2084,1585,499
1400000US42003408002,42003408002,2279,2095,184
1400000US42003409000,42003409000,4449,3758,691
1400000US42003410000,42003410000,471,441,30
1400000US42003411000,42003411000,2900,2588,312
1400000US42003412001,42003412001,3352,3035,317
1400000US42003412002,42003412002,1871,1796,75
1400000US42003413100,42003413100,2683,1933,750
1400000US42003413201,42003413201,1604,1304,300
1400000US42003413202,42003413202,1206,1021,185
1400000US42003413300,42003413300,1934,1690,244
1400000US42003413400,42003413400,1643,1477,166
1400000US42003413500,42003413500,2890,1513,1377
1400000US42003414101,42003414101,1969,1931,38
1400000US42003414102,42003414102,3037,2331,706
1400000US42003414200,42003414200,2228,1989,239
1400000US42003415001,42003415001,1622,1408,214
1400000US42003415002,42003415002,1000,878,122
1400000US42003416000,42003416000,832,667,165
1400000US42003417100,42003417100,910,703,207
1400000US42003417200,42003417200,653,328,325
1400000US42003418000,42003418000,826,700,126
1400000US42003419000,42003419000,1421,1016,405
1400000US42003420000,42003420000,835,349,486
1400000US42003421100,42003421100,1933,1372,561
1400000US42003421200,42003421200,1718,1575,143
1400000US42003422000,42003422000,1869,1757,112
1400000US42003423000,42003423000,1269,707,562
1400000US42003424000,42003424000,1561,671,890
1400000US42003425000,42003425000,1484,929,555
1400000US42003426300,42003426300,2469,2343,126
1400000US42003426400,42003426400,2018,1580,438
1400000US42003426700,42003426700,1162,807,355
1400000US42003426800,42003426800,2248,2110,138
1400000US42003427000,42003427000,1940,802,1138
1400000US42003427100,42003427100,2208,2187,21
1400000US42003427200,42003427200,2205,1594,611
1400000US42003428100,42003428100,508,378,130
1400000US42003428200,42003428200,947,825,122
1400000US42003429100,42003429100,1142,688,454
1400000US42003429201,42003429201,1801,1397,404
1400000US42003429202,42003429202,1863,1743,120
1400000US42003429300,42003429300,2350,1974,376
1400000US42003429400,42003429400,1863,1558,305
1400000US42003429500,42003429500,2278,1276,1002
1400000US42003429600,42003429600,1540,995,545
1400000US42003429700,42003429700,1064,931,133
1400000US42003430100,42003430100,958,715,243
1400000US42003430200,42003430200,2118,1415,703
1400000US42003431100,42003431100,1712,756,956
1400000US42003431400,42003431400,988,462,526
1400000US42003431500,42003431500,1728,418,1310
1400000US42003432300,42003432300,1188,584,604
1400000US42003432400,42003432400,1327,706,621
1400000US42003434000,42003434000,760,600,160
1400000US42003435000,42003435000,1203,730,473
1400000US42003437000,42003437000,2222,1580,642
1400000US42003439000,42003439000,538,497,41
1400000US42003445500,42003445500,1742,1084,658
1400000US42003446000,42003446000,712,657,55
1400000US42003447000,42003447000,599,527,72
1400000US42003448000,42003448000,561,361,200
1400000US42003449000,42003449000,1008,857,151
1400000US42003450700,42003450700,1618,897,721
1400000US42003450800,42003450800,1190,499,691
1400000US42003451101,42003451101,1523,1278,245
1400000US42003451102,42003451102,2004,1250,754
1400000US42003451104,42003451104,1282,1178,104
1400000US42003451105,42003451105,2189,924,1265
1400000US42003451300,42003451300,2731,2543,188
1400000US42003452000,42003452000,2224,1807,417
1400000US42003453003,42003453003,755,654,101
1400000US42003453004,42003453004,3195,2058,1137
1400000US42003455000,42003455000,651,533,118
1400000US42003456001,42003456001,1284,1152,132
1400000US42003456003,42003456003,2629,2195,434
1400000US42003456004,42003456004,2128,1349,779
1400000US42003457100,42003457100,760,351,409
1400000US42003457200,42003457200,1768,1122,646
1400000US42003458000,42003458000,3762,3016,746
1400000US42003459101,42003459101,683,574,109
1400000US42003459102,42003459102,2494,1950,544
1400000US42003459201,42003459201,2847,1867,980
1400000US42003459202,42003459202,490,410,80
1400000US42003460001,42003460001,2041,1798,243
1400000US42003460002,42003460002,1425,1026,399
1400000US42003461000,42003461000,612,313,299
1400000US42003462100,42003462100,1106,701,405
1400000US42003462600,42003462600,1433,716,717
1400000US42003463900,42003463900,1240,520,720
1400000US42003464300,42003464300,1606,1068,538
1400000US42003464400,42003464400,1584,605,979
1400000US42003465600,42003465600,1237,593,644
1400000US42003465800,42003465800,1563,924,639
1400000US42003468700,42003468700,769,508,261
1400000US42003468800,42003468800,1223,628,595
1400000US42003468900,42003468900,1887,796,1091
1400000US42003469000,42003469000,2091,1818,273
1400000US42003470300,42003470300,1758,1257,501
1400000US42003470400,42003470400,1340,1183,157
1400000US42003470501,42003470501,1974,727,1247
1400000US42003470502,42003470502,1300,1127,173
1400000US42003470600,42003470600,1442,789,653
1400000US42003471000,42003471000,628,393,235
1400000US42003472100,42003472100,1248,645,603
1400000US42003472200,42003472200,1050,563,487
1400000US42003472300,42003472300,966,465,501
1400000US42003472400,42003472400,753,630,123
1400000US42003473100,42003473100,2165,1221,944
