ID,GEOID,median_rent,moe_median_rent
1400000US42101000100,42101000100,1724,80
1400000US42101000200,42101000200,1122,169
1400000US42101000300,42101000300,1904,226
1400000US42101000401,42101000401,1435,219
1400000US42101000402,42101000402,1751,167
1400000US42101000500,42101000500,1497,190
1400000US42101000600,42101000600,1749,52
1400000US42101000700,42101000700,1709,122
1400000US42101000801,42101000801,1955,380
1400000US42101000803,42101000803,1392,82
1400000US42101000804,42101000804,1877,89
1400000US42101000901,42101000901,1136,50
1400000US42101000902,42101000902,1116,187
1400000US42101001001,42101001001,1634,165
1400000US42101001002,42101001002,1702,72
1400000US42101001101,42101001101,1186,88
1400000US42101001102,42101001102,1270,83
1400000US42101001201,42101001201,1428,85
1400000US42101001202,42101001202,1450,57
1400000US42101001300,42101001300,1351,346
1400000US42101001400,42101001400,1046,130
1400000US42101001500,42101001500,1288,148
1400000US42101001600,42101001600,1354,105
1400000US42101001700,42101001700,1391,80
1400000US42101001800,42101001800,1558,258
1400000US42101001900,42101001900,1206,213
1400000US42101002000,42101002000,1069,108
1400000US42101002100,42101002100,1400,85
1400000US42101002200,42101002200,1233,189
1400000US42101002300,42101002300,1104,60
1400000US42101002400,42101002400,1141,130
1400000US42101002500,42101002500,1163,265
1400000US42101002701,42101002701,970,171
1400000US42101002702,42101002702,1160,90
1400000US42101002801,42101002801,1037,73
1400000US42101002802,42101002802,1094,165
1400000US42101002900,42101002900,966,129
1400000US42101003001,42101003001,1035,98
1400000US42101003002,42101003002,846,57
1400000US42101003100,42101003100,945,57
1400000US42101003200,42101003200,933,114
1400000US42101003300,42101003300,911,61
1400000US42101003600,42101003600,504,162
1400000US42101003701,42101003701,958,290
1400000US42101003702,42101003702,1040,90
1400000US42101003800,42101003800,1098,57
1400000US42101003901,42101003901,963,81
1400000US42101003902,42101003902,919,69
1400000US42101004001,42101004001,990,111
1400000US42101004002,42101004002,1154,206
1400000US42101004101,42101004101,827,83
1400000US42101004102,42101004102,1170,163
1400000US42101004201,42101004201,1145,72
1400000US42101004202,42101004202,1069,89
1400000US42101005000,42101005000,,
1400000US42101005400,42101005400,1157,99
1400000US42101005500,42101005500,1178,68
1400000US42101005600,42101005600,370,162
1400000US42101006000,42101006000,997,299
1400000US42101006100,42101006100,920,256
1400000US42101006200,42101006200,907,142
1400000US42101006300,42101006300,884,96
1400000US42101006400,42101006400,968,195
1400000US42101006500,42101006500,813,56
1400000US42101006600,42101006600,711,204
1400000US42101006700,42101006700,1006,298
1400000US42101006900,42101006900,252,66
1400000US42101007000,42101007000,792,54
1400000US42101007101,42101007101,803,108
1400000US42101007102,42101007102,896,92
1400000US42101007200,42101007200,761,46
1400000US42101007300,42101007300,816,122
1400000US42101007400,42101007400,829,108
1400000US42101007700,42101007700,849,27
1400000US42101007800,42101007800,881,60
1400000US42101007900,42101007900,1009,94
1400000US42101008000,42101008000,963,89
1400000US42101008101,42101008101,656,164
1400000US42101008102,42101008102,916,93
1400000US42101008200,42101008200,959,74
1400000US42101008301,42101008301,793,424
1400000US42101008302,42101008302,1060,76
1400000US42101008400,42101008400,899,76
1400000US42101008500,42101008500,917,63
1400000US42101008601,42101008601,1101,68
1400000US42101008602,42101008602,870,136
