Id,Id2,totpovstatus,belpov,pct_belpov
1400000US42001030101,42001030101,2589,204,7.9
1400000US42001030102,42001030102,5755,296,5.1
1400000US42001030200,42001030200,5279,924,17.5
1400000US42001030300,42001030300,4241,330,7.8
1400000US42001030400,42001030400,5628,421,7.5
1400000US42001030500,42001030500,3707,425,11.5
1400000US42001030600,42001030600,4426,491,11.1
1400000US42001030700,42001030700,6765,373,5.5
1400000US42001030800,42001030800,7223,579,8
1400000US42001030900,42001030900,7376,786,10.7
1400000US42001031000,42001031000,1835,179,9.8
1400000US42001031101,42001031101,5031,328,6.5
1400000US42001031102,42001031102,3156,100,3.2
1400000US42001031201,42001031201,3599,26,0.7
1400000US42001031202,42001031202,2702,90,3.3
1400000US42001031203,42001031203,3158,164,5.2
1400000US42001031300,42001031300,4401,350,8
1400000US42001031401,42001031401,3901,494,12.7
1400000US42001031402,42001031402,2012,178,8.8
1400000US42001031501,42001031501,1216,337,27.7
1400000US42001031502,42001031502,3799,963,25.3
1400000US42001031600,42001031600,6926,185,2.7
1400000US42001031700,42001031700,2622,325,12.4
1400000US42003010300,42003010300,720,271,37.6
1400000US42003020100,42003020100,3710,689,18.6
1400000US42003020300,42003020300,943,55,5.8
1400000US42003030500,42003030500,2177,860,39.5
1400000US42003040200,42003040200,1268,606,47.8
1400000US42003040400,42003040400,1932,797,41.3
1400000US42003040500,42003040500,3251,2479,76.3
1400000US42003040600,42003040600,2134,1379,64.6
1400000US42003040900,42003040900,3099,1826,58.9
1400000US42003050100,42003050100,2143,982,45.8
1400000US42003050600,42003050600,2097,406,19.4
1400000US42003050900,42003050900,1291,722,55.9
1400000US42003051000,42003051000,1294,758,58.6
1400000US42003051100,42003051100,152,27,17.8
1400000US42003060300,42003060300,2481,569,22.9
1400000US42003060500,42003060500,1278,125,9.8
1400000US42003070300,42003070300,2059,324,15.7
1400000US42003070500,42003070500,3202,793,24.8
1400000US42003070600,42003070600,1960,232,11.8
1400000US42003070800,42003070800,1929,307,15.9
1400000US42003070900,42003070900,3895,1373,35.3
1400000US42003080200,42003080200,1545,348,22.5
1400000US42003080400,42003080400,1525,514,33.7
1400000US42003080600,42003080600,2048,232,11.3
1400000US42003080700,42003080700,1847,353,19.1
1400000US42003080900,42003080900,1726,248,14.4
1400000US42003090100,42003090100,1871,207,11.1
1400000US42003090200,42003090200,2695,344,12.8
1400000US42003090300,42003090300,1777,248,14
1400000US42003100500,42003100500,1918,318,16.6
1400000US42003101100,42003101100,2569,376,14.6
1400000US42003101400,42003101400,3124,262,8.4
1400000US42003101600,42003101600,1132,514,45.4
1400000US42003101700,42003101700,1387,475,34.2
1400000US42003101800,42003101800,2646,140,5.3
1400000US42003110200,42003110200,4390,476,10.8
1400000US42003110600,42003110600,2325,328,14.1
1400000US42003111300,42003111300,2776,472,17
1400000US42003111400,42003111400,1266,376,29.7
1400000US42003111500,42003111500,3108,666,21.4
1400000US42003120300,42003120300,1730,410,23.7
1400000US42003120400,42003120400,743,362,48.7
1400000US42003120700,42003120700,879,341,38.8
1400000US42003120800,42003120800,586,203,34.6
1400000US42003130100,42003130100,1804,1096,60.8
1400000US42003130200,42003130200,1594,664,41.7
1400000US42003130300,42003130300,1202,359,29.9
1400000US42003130400,42003130400,990,460,46.5
1400000US42003130600,42003130600,2674,959,35.9
1400000US42003140100,42003140100,2328,371,15.9
1400000US42003140200,42003140200,2049,580,28.3
1400000US42003140300,42003140300,3925,268,6.8
1400000US42003140400,42003140400,2347,116,4.9
1400000US42003140500,42003140500,1891,312,16.5
1400000US42003140600,42003140600,3297,365,11.1
1400000US42003140800,42003140800,4517,573,12.7
1400000US42003141000,42003141000,1001,36,3.6
1400000US42003141100,42003141100,1309,37,2.8
1400000US42003141300,42003141300,4986,1054,21.1
1400000US42003141400,42003141400,5327,596,11.2
1400000US42003151600,42003151600,2690,171,6.4
1400000US42003151700,42003151700,5392,439,8.1
1400000US42003160800,42003160800,2837,465,16.4
1400000US42003160900,42003160900,3255,863,26.5
1400000US42003170200,42003170200,3513,1017,28.9
1400000US42003170600,42003170600,1734,349,20.1
1400000US42003180300,42003180300,2320,553,23.8
1400000US42003180700,42003180700,1992,354,17.8
1400000US42003190300,42003190300,1785,250,14
1400000US42003191100,42003191100,2486,349,14
1400000US42003191400,42003191400,2675,557,20.8
1400000US42003191500,42003191500,1994,224,11.2
1400000US42003191600,42003191600,4357,756,17.4
1400000US42003191700,42003191700,3582,338,9.4
1400000US42003191800,42003191800,5198,351,6.8
1400000US42003191900,42003191900,2025,220,10.9
1400000US42003192000,42003192000,3483,557,16
1400000US42003202200,42003202200,2879,923,32.1
1400000US42003202300,42003202300,3646,262,7.2
1400000US42003210700,42003210700,2156,338,15.7
1400000US42003220600,42003220600,1636,289,17.7
1400000US42003240600,42003240600,2046,418,20.4
1400000US42003241200,42003241200,825,176,21.3
1400000US42003250300,42003250300,1068,293,27.4
1400000US42003250700,42003250700,693,338,48.8
1400000US42003250900,42003250900,1097,300,27.3
1400000US42003260200,42003260200,1940,305,15.7
1400000US42003260700,42003260700,1681,73,4.3
1400000US42003260900,42003260900,1606,1189,74
1400000US42003261200,42003261200,1154,26,2.3
1400000US42003261400,42003261400,1911,665,34.8
1400000US42003261500,42003261500,1510,539,35.7
1400000US42003262000,42003262000,2537,829,32.7
1400000US42003270100,42003270100,2591,285,11
1400000US42003270300,42003270300,1989,268,13.5
1400000US42003270400,42003270400,1029,207,20.1
1400000US42003270800,42003270800,2425,485,20
1400000US42003271500,42003271500,2723,506,18.6
1400000US42003281400,42003281400,2720,987,36.3
1400000US42003281500,42003281500,1466,124,8.5
1400000US42003290100,42003290100,2058,353,17.2
1400000US42003290200,42003290200,4185,715,17.1
1400000US42003290400,42003290400,4186,1021,24.4
1400000US42003300100,42003300100,3336,1015,30.4
1400000US42003310200,42003310200,3601,207,5.7
1400000US42003310300,42003310300,930,29,3.1
1400000US42003320400,42003320400,1872,331,17.7
1400000US42003320600,42003320600,2259,318,14.1
1400000US42003320700,42003320700,1494,250,16.7
1400000US42003401100,42003401100,4747,264,5.6
1400000US42003401200,42003401200,2911,830,28.5
1400000US42003401300,42003401300,2741,89,3.2
1400000US42003402000,42003402000,3111,479,15.4
1400000US42003403500,42003403500,4480,1107,24.7
1400000US42003404000,42003404000,1387,165,11.9
1400000US42003405000,42003405000,1084,63,5.8
1400000US42003406000,42003406000,2325,104,4.5
1400000US42003407001,42003407001,5281,100,1.9
1400000US42003407002,42003407002,6517,417,6.4
1400000US42003408001,42003408001,5170,470,9.1
1400000US42003408002,42003408002,6217,425,6.8
1400000US42003409000,42003409000,12682,330,2.6
1400000US42003410000,42003410000,1152,31,2.7
1400000US42003411000,42003411000,8232,304,3.7
1400000US42003412001,42003412001,8938,150,1.7
1400000US42003412002,42003412002,5353,56,1
1400000US42003413100,42003413100,6674,491,7.4
1400000US42003413201,42003413201,3674,168,4.6
1400000US42003413202,42003413202,2687,130,4.8
1400000US42003413300,42003413300,4416,138,3.1
1400000US42003413400,42003413400,4278,155,3.6
1400000US42003413500,42003413500,6066,388,6.4
1400000US42003414101,42003414101,5280,103,2
1400000US42003414102,42003414102,7476,266,3.6
1400000US42003414200,42003414200,5645,239,4.2
1400000US42003415001,42003415001,4642,215,4.6
1400000US42003415002,42003415002,2414,91,3.8
1400000US42003416000,42003416000,1632,217,13.3
1400000US42003417100,42003417100,2023,140,6.9
1400000US42003417200,42003417200,1321,179,13.6
1400000US42003418000,42003418000,1732,105,6.1
1400000US42003419000,42003419000,2856,276,9.7
1400000US42003420000,42003420000,1574,165,10.5
1400000US42003421100,42003421100,4451,223,5
1400000US42003421200,42003421200,4249,196,4.6
1400000US42003422000,42003422000,5363,22,0.4
1400000US42003423000,42003423000,2757,91,3.3
1400000US42003424000,42003424000,3333,717,21.5
1400000US42003425000,42003425000,3399,276,8.1
1400000US42003426300,42003426300,6094,115,1.9
1400000US42003426400,42003426400,4082,284,7
1400000US42003426700,42003426700,2248,112,5
1400000US42003426800,42003426800,5713,224,3.9
1400000US42003427000,42003427000,3692,854,23.1
1400000US42003427100,42003427100,5473,238,4.3
1400000US42003427200,42003427200,4797,590,12.3
1400000US42003428100,42003428100,1200,73,6.1
1400000US42003428200,42003428200,2100,69,3.3
1400000US42003429100,42003429100,2667,273,10.2
1400000US42003429201,42003429201,4175,164,3.9
1400000US42003429202,42003429202,4313,138,3.2
1400000US42003429300,42003429300,5200,71,1.4
1400000US42003429400,42003429400,4403,227,5.2
1400000US42003429500,42003429500,4090,217,5.3
1400000US42003429600,42003429600,3089,163,5.3
1400000US42003429700,42003429700,2419,98,4.1
1400000US42003430100,42003430100,2114,184,8.7
1400000US42003430200,42003430200,4579,238,5.2
1400000US42003431100,42003431100,3170,451,14.2
1400000US42003431400,42003431400,1923,263,13.7
1400000US42003431500,42003431500,3160,541,17.1
1400000US42003432300,42003432300,1968,131,6.7
1400000US42003432400,42003432400,2598,165,6.4
1400000US42003434000,42003434000,1880,64,3.4
1400000US42003435000,42003435000,2304,111,4.8
1400000US42003437000,42003437000,6069,275,4.5
1400000US42003439000,42003439000,1354,71,5.2
1400000US42003445500,42003445500,3862,239,6.2
1400000US42003446000,42003446000,1826,75,4.1
1400000US42003447000,42003447000,1577,49,3.1
1400000US42003448000,42003448000,1257,311,24.7
1400000US42003449000,42003449000,2601,173,6.7
1400000US42003450700,42003450700,3196,324,10.1
1400000US42003450800,42003450800,2383,411,17.2
1400000US42003451101,42003451101,3624,241,6.7
1400000US42003451102,42003451102,4306,349,8.1
1400000US42003451104,42003451104,3570,89,2.5
1400000US42003451105,42003451105,5206,890,17.1
1400000US42003451300,42003451300,7422,130,1.8
1400000US42003452000,42003452000,5509,313,5.7
1400000US42003453003,42003453003,1845,95,5.1
1400000US42003453004,42003453004,6994,711,10.2
1400000US42003455000,42003455000,1510,94,6.2
1400000US42003456001,42003456001,3413,203,5.9
1400000US42003456003,42003456003,7220,317,4.4
1400000US42003456004,42003456004,4403,198,4.5
1400000US42003457100,42003457100,1503,238,15.8
1400000US42003457200,42003457200,3548,311,8.8
1400000US42003458000,42003458000,7928,313,3.9
1400000US42003459101,42003459101,1799,238,13.2
1400000US42003459102,42003459102,5981,274,4.6
1400000US42003459201,42003459201,5782,288,5
1400000US42003459202,42003459202,737,66,9
