zip,efficiency,br_1,br_2,br_3,br_4
19101,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19102,"$1,260 ","$1,490 ","$1,800 ","$2,260 ","$2,570 "
19103,"$1,260 ","$1,490 ","$1,800 ","$2,260 ","$2,570 "
19104,$800 ,$940 ,"$1,140 ","$1,430 ","$1,630 "
19105,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19106,"$1,260 ","$1,490 ","$1,800 ","$2,260 ","$2,570 "
19107,"$1,140 ","$1,350 ","$1,630 ","$2,040 ","$2,330 "
19109,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19110,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19111,$730 ,$870 ,"$1,050 ","$1,320 ","$1,500 "
19112,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19114,$830 ,$980 ,"$1,190 ","$1,490 ","$1,700 "
19115,$800 ,$940 ,"$1,140 ","$1,430 ","$1,630 "
19116,$760 ,$900 ,"$1,090 ","$1,370 ","$1,560 "
19118,"$1,060 ","$1,250 ","$1,510 ","$1,890 ","$2,160 "
19119,$780 ,$930 ,"$1,120 ","$1,400 ","$1,600 "
19120,$700 ,$830 ,"$1,000 ","$1,250 ","$1,430 "
19121,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19122,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19123,"$1,090 ","$1,290 ","$1,560 ","$1,950 ","$2,230 "
19124,$710 ,$840 ,"$1,010 ","$1,270 ","$1,440 "
19125,$760 ,$900 ,"$1,090 ","$1,370 ","$1,560 "
19126,$710 ,$840 ,"$1,010 ","$1,270 ","$1,440 "
19127,"$1,110 ","$1,310 ","$1,590 ","$1,990 ","$2,270 "
19128,$940 ,"$1,110 ","$1,340 ","$1,680 ","$1,920 "
19129,$980 ,"$1,160 ","$1,400 ","$1,750 ","$2,000 "
19130,"$1,220 ","$1,450 ","$1,750 ","$2,190 ","$2,500 "
19131,$800 ,$950 ,"$1,150 ","$1,440 ","$1,640 "
19132,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19133,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19134,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19135,$710 ,$840 ,"$1,010 ","$1,270 ","$1,440 "
19136,$700 ,$830 ,"$1,000 ","$1,250 ","$1,430 "
19137,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19138,$760 ,$890 ,"$1,080 ","$1,350 ","$1,540 "
19139,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19140,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19141,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19142,$690 ,$820 ,$990 ,"$1,240 ","$1,420 "
19143,$690 ,$810 ,$990 ,"$1,230 ","$1,370 "
19144,$740 ,$880 ,"$1,060 ","$1,330 ","$1,520 "
19145,$710 ,$840 ,"$1,020 ","$1,280 ","$1,460 "
19146,$830 ,$980 ,"$1,190 ","$1,490 ","$1,700 "
19147,"$1,050 ","$1,240 ","$1,500 ","$1,880 ","$2,140 "
19148,$750 ,$880 ,"$1,070 ","$1,340 ","$1,530 "
19149,$790 ,$930 ,"$1,130 ","$1,420 ","$1,620 "
19150,$790 ,$930 ,"$1,130 ","$1,420 ","$1,620 "
19151,$780 ,$930 ,"$1,120 ","$1,400 ","$1,600 "
19152,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
19153,$860 ,"$1,020 ","$1,230 ","$1,540 ","$1,760 "
19154,$870 ,"$1,030 ","$1,250 ","$1,570 ","$1,790 "
19160,$770 ,$910 ,"$1,100 ","$1,380 ","$1,570 "
